Rang,Anzahl,Vorname,Geschlecht,-,Rang,Anzahl,Vorname,Geschlecht
1,77,Emma,w,,1,63,Emil,m
2,53,Emilia,w,,2,59,Oskar,m
3,50,Mia,w,,3,57,Ben,m
4,46,Ella,w,,4,51,Paul,m
5,45,Clara,w,,5,48,Karl,m
6,40,Greta,w,,6,46,Anton,m
7,38,Klara,w,,7,43,Noah,m
8,38,Mathilda,w,,8,43,Theo,m
9,37,Charlotte,w,,9,42,Felix,m
10,36,Paula,w,,10,39,Finn,m
11,34,Marie,w,,11,38,Luca,m
12,32,Hannah,w,,12,35,Jonas,m
13,32,Mila,w,,13,35,Maximilian,m
14,31,Anna,w,,14,33,Moritz,m
15,31,Johanna,w,,15,32,Leon,m
16,28,Hanna,w,,16,31,Arthur,m
17,28,Leonie,w,,17,31,Bruno,m
18,28,Lina,w,,18,31,Elias,m
19,28,Sophia,w,,19,31,Henry,m
20,26,Lea,w,,20,31,Jakob,m
21,26,Matilda,w,,21,31,Theodor,m
22,24,Amelie,w,,22,27,Max,m
23,24,Lara,w,,23,26,Leonard,m
24,24,Nele,w,,24,24,Jonathan,m
25,24,Nora,w,,25,24,Pepe,m
26,23,Sophie,w,,26,23,Alexander,m
27,22,Laura,w,,27,23,Franz,m
28,22,Lena,w,,28,23,Fritz,m
29,22,Maja,w,,29,22,Johann,m
30,21,Leni,w,,30,22,Richard,m
31,21,Luise,w,,31,21,Benjamin,m
32,20,Elisabeth,w,,32,21,Carl,m
33,20,Lotta,w,,33,21,Liam,m
34,20,Pauline,w,,34,21,Linus,m
35,19,Alma,w,,35,21,Vincent,m
36,19,Helena,w,,36,20,Erik,m
37,19,Martha,w,,37,20,Levi,m
38,19,Merle,w,,38,20,Louis,m
39,18,Frieda,w,,39,20,Milan,m
40,18,Ida,w,,40,20,Tim,m
41,18,Lilly,w,,41,19,Edgar,m
42,17,Elena,w,,42,19,Valentin,m
43,17,Emily,w,,43,18,Johannes,m
44,17,Julia,w,,44,18,Julian,m
45,17,Mara,w,,45,18,Leo,m
46,17,Marlene,w,,46,18,Lukas,m
47,17,Stella,w,,47,18,Till,m
48,16,Frida,w,,48,17,Malte,m
49,16,Helene,w,,49,17,Matteo,m
50,15,Amalia,w,,50,16,Adam,m
51,15,Luna,w,,51,16,Fabian,m
52,14,Eva,w,,52,16,Luis,m
53,14,Linda,w,,53,16,Samuel,m
54,14,Luisa,w,,54,15,Benedikt,m
55,13,Ava,w,,55,15,Friedrich,m
56,13,Finja,w,,56,15,Fynn,m
57,13,Lene,w,,57,15,Gustav,m
58,13,Pia,w,,58,15,Oliver,m
59,13,Ronja,w,,59,15,Tom,m
60,12,Elisa,w,,60,14,Aaron,m
61,12,Karla,w,,61,14,Henri,m
62,12,Lia,w,,62,14,Konrad,m
63,12,Rosa,w,,63,14,Konstantin,m
64,12,Sara,w,,64,14,Kurt,m
65,11,Annika,w,,65,14,Niklas,m
66,11,Elsa,w,,66,14,Simon,m
67,11,Henriette,w,,67,13,Adrian,m
68,11,Lisa,w,,68,13,John,m
69,11,Maya,w,,69,12,Emilio,m
70,11,Rosalie,w,,70,12,Frederik,m
71,11,Sarah,w,,71,12,Joshua,m
72,11,Tilda,w,,72,12,Julius,m
73,11,Victoria,w,,73,12,Leopold,m
74,10,Antonia,w,,74,11,Ali,m
75,10,Elise,w,,75,11,Carlo,m
76,10,Katharina,w,,76,11,Constantin,m
77,10,Lucy,w,,77,11,Emilian,m
78,10,Magdalena,w,,78,11,Hannes,m
79,10,Marla,w,,79,11,Joel,m
80,10,Melina,w,,80,11,Mattis,m
81,10,Mira,w,,81,11,Oscar,m
82,10,Sofia,w,,82,11,Wilhelm,m
83,10,Tessa,w,,83,10,Charlie,m
84,10,Theresa,w,,84,10,Florian,m
85,9,Alina,w,,85,10,Hans,m
86,9,Amira,w,,86,10,Otto,m
87,9,Edda,w,,87,9,Jan,m
88,9,Holly,w,,88,9,Lennard,m
89,9,Josephine,w,,89,9,Lucas,m
90,9,Juna,w,,90,9,Matheo,m
91,9,Maria,w,,91,9,Mats,m
92,9,Olivia,w,,92,9,Robin,m
93,9,Selma,w,,93,9,Tobias,m
94,9,Valentina,w,,94,8,Albert,m
95,8,Amélie,w,,95,8,Alfred,m
96,8,Anni,w,,96,8,Armin,m
97,8,Lotte,w,,97,8,Artur,m
98,8,Mariella,w,,98,8,Daniel,m
99,8,Miriam,w,,99,8,David,m
100,8,Viktoria,w,,100,8,Enno,m
101,8,Wanda,w,,101,8,Jacob,m
102,7,Ada,w,,102,8,Lennox,m
103,7,Alva,w,,103,8,Levin,m
104,7,Amelia,w,,104,8,Ludwig,m
105,7,Amy,w,,105,8,Marlon,m
106,7,Carla,w,,106,8,Mika,m
107,7,Carlotta,w,,107,8,Milo,m
108,7,Fiona,w,,108,7,Alex,m
109,7,Hilda,w,,109,7,Clemens,m
110,7,Jasmin,w,,110,7,Dominik,m
111,7,Livia,w,,111,7,Hugo,m
112,7,Thea,w,,112,7,Jamie,m
113,6,Alessia,w,,113,7,Jannik,m
114,6,Alicia,w,,114,7,Jannis,m
115,6,Annabelle,w,,115,7,Jaron,m
116,6,Aurelia,w,,116,7,Jonah,m
117,6,Cleo,w,,117,7,Kilian,m
118,6,Isabella,w,,118,7,Lenny,m
119,6,Lilith,w,,119,7,Marvin,m
120,6,Lilli,w,,120,7,Mio,m
121,6,Louisa,w,,121,7,Mohammed,m
122,6,Mariam,w,,122,7,Nico,m
123,6,Romy,w,,123,7,Ole,m
124,5,Alexandra,w,,124,7,Omar,m
125,5,Amilia,w,,125,7,Phil,m
126,5,Anastasia,w,,126,7,Willi,m
127,5,Aurora,w,,127,6,Amir,m
128,5,Cecilia,w,,128,6,Bastian,m
129,5,Elli,w,,129,6,Christian,m
130,5,Enna,w,,130,6,Damian,m
131,5,Fabienne,w,,131,6,Eric,m
132,5,Freya,w,,132,6,Ferdinand,m
133,5,Fritzi,w,,133,6,Jona,m
134,5,Hedda,w,,134,6,Lino,m
135,5,Hedi,w,,135,6,Mailo,m
136,5,Jette,w,,136,6,Matti,m
137,5,Jonna,w,,137,6,Mohamad,m
138,5,Malia,w,,138,6,Mohamed,m
139,5,Mathilde,w,,139,6,Mohammad,m
140,5,Melissa,w,,140,6,Rafael,m
141,5,Mina,w,,141,6,Raphael,m
142,5,Nina,w,,142,6,Ruben,m
143,5,Ruby,w,,143,6,Sam,m
144,5,Selina,w,,144,6,Til,m
145,5,Sofie,w,,145,6,Timo,m
146,5,Tabea,w,,146,5,Alwin,m
147,5,Yuna,w,,147,5,August,m
148,5,Zoe,w,,148,5,Benedict,m
149,4,Alia,w,,149,5,Bennet,m
150,4,Anais,w,,150,5,Benno,m
151,4,Aria,w,,151,5,Georg,m
152,4,Darina,w,,152,5,Hamza,m
153,4,Elina,w,,153,5,Ian,m
154,4,Elly,w,,154,5,Joris,m
155,4,Emely,w,,155,5,Kalle,m
156,4,Enni,w,,156,5,Lasse,m
157,4,Felicitas,w,,157,5,Martin,m
158,4,Flora,w,,158,5,Mattheo,m
159,4,Florentine,w,,159,5,Noel,m
160,4,Freyja,w,,160,5,Philipp,m
161,4,Friederike,w,,161,5,Thomas,m
162,4,Helen,w,,162,5,Titus,m
163,4,Isabel,w,,163,5,Tristan,m
164,4,Juli,w,,164,4,Arne,m
165,4,Karlotta,w,,165,4,Bela,m
166,4,Kate,w,,166,4,Carlos,m
167,4,Kim,w,,167,4,Cedric,m
168,4,Kira,w,,168,4,Dennis,m
169,4,Laila,w,,169,4,Diego,m
170,4,Leticia,w,,170,4,Domenik,m
171,4,Letizia,w,,171,4,Dominic,m
172,4,Lieselotte,w,,172,4,Eddie,m
173,4,Liya,w,,173,4,Edwin,m
174,4,Lucia,w,,174,4,Egon,m
175,4,Lucie,w,,175,4,Elyas,m
176,4,Malina,w,,176,4,Erwin,m
177,4,Margarete,w,,177,4,Fin,m
178,4,Mascha,w,,178,4,Gregor,m
179,4,Mathea,w,,179,4,Ibrahim,m
180,4,Mayla,w,,180,4,Janosch,m
181,4,Meta,w,,181,4,Jaro,m
182,4,Milena,w,,182,4,Jasper,m
183,4,Milla,w,,183,4,Jayden,m
184,4,Natalie,w,,184,4,Jonte,m
185,4,Palina,w,,185,4,Joscha,m
186,4,Rebecca,w,,186,4,Josef,m
187,4,Runa,w,,187,4,Julien,m
188,4,Sina,w,,188,4,Justus,m
189,4,Smilla,w,,189,4,Kasimir,m
190,4,Valerie,w,,190,4,Khaled,m
191,4,Vanessa,w,,191,4,Leander,m
192,4,Wilma,w,,192,4,Lennart,m
193,3,Adele,w,,193,4,Leonhard,m
194,3,Alba,w,,194,4,Logan,m
195,3,Amanda,w,,195,4,Maxim,m
196,3,Amely,w,,196,4,Mustafa,m
197,3,Amina,w,,197,4,Neo,m
198,3,Anja,w,,198,4,Nick,m
199,3,Annelie,w,,199,4,Nils,m
200,3,Ariana,w,,200,4,Peter,m
201,3,Cataleya,w,,201,4,Philip,m
202,3,Charlotta,w,,202,4,Piet,m
203,3,Daria,w,,203,4,Ragnar,m
204,3,Eleanor,w,,204,4,Robert,m
205,3,Elenor,w,,205,4,Samu,m
206,3,Eleonore,w,,206,4,Timon,m
207,3,Elizabeth,w,,207,4,Toni,m
208,3,Elva,w,,208,4,Tyler,m
209,3,Emilie,w,,209,4,Viktor,m
210,3,Esther,w,,210,4,Vito,m
211,3,Fatima,w,,211,4,Wanja,m
212,3,Felicia,w,,212,4,William,m
213,3,Finya,w,,213,4,Yannick,m
214,3,Gerda,w,,214,4,Youssef,m
215,3,Gia,w,,215,3,Aidan,m
216,3,Hermine,w,,216,3,Albrecht,m
217,3,Iva,w,,217,3,Alessio,m
218,3,Jolina,w,,218,3,Alfons,m
219,3,Joline,w,,219,3,Ansgar,m
220,3,Julie,w,,220,3,Aron,m
221,3,Julika,w,,221,3,Arvid,m
222,3,Juno,w,,222,3,Ayham,m
223,3,Käthe,w,,223,3,Bjarne,m
224,3,Lana,w,,224,3,Bob,m
225,3,Larin,w,,225,3,Charly,m
226,3,Leona,w,,226,3,Cornelius,m
227,3,Leonore,w,,227,3,Darius,m
228,3,Linnea,w,,228,3,Dean,m
229,3,Liv,w,,229,3,Eddy,m
230,3,Luana,w,,230,3,Edward,m
231,3,Madita,w,,231,3,Elmar,m
232,3,Maia,w,,232,3,Fiete,m
233,3,Malika,w,,233,3,Finnley,m
234,3,Marta,w,,234,3,Frank,m
235,3,Maxi,w,,235,3,Frido,m
236,3,Melia,w,,236,3,Gabriel,m
237,3,Mia-Sophie,w,,237,3,Hanno,m
238,3,Natalia,w,,238,3,Hendrik,m
239,3,Nathalie,w,,239,3,Ilias,m
240,3,Nela,w,,240,3,Ismail,m
241,3,Nelly,w,,241,3,Jakub,m
242,3,Ngọc,w,,242,3,Janis,m
