Rang,Anzahl,Vorname,Geschlecht,-,Rang,Anzahl,Vorname,Geschlecht
1,52,Clara,w,,1,54,Oskar,m
2,43,Emma,w,,2,53,Emil,m
3,38,Charlotte,w,,3,51,Karl,m
4,38,Johanna,w,,4,51,Theo,m
5,38,Mia,w,,5,45,Paul,m
6,37,Ella,w,,6,42,Anton,m
7,37,Hannah,w,,7,40,Ben,m
8,35,Lina,w,,8,39,Jonas,m
9,34,Emilia,w,,9,37,Moritz,m
10,30,Anna,w,,10,37,Theodor,m
11,28,Frieda,w,,11,36,Noah,m
12,28,Ida,w,,12,35,Luca,m
13,27,Lotta,w,,13,33,Finn,m
14,27,Mila,w,,14,32,Leon,m
15,26,Hanna,w,,15,29,Felix,m
16,26,Helena,w,,16,27,Alexander,m
17,25,Greta,w,,17,27,Henry,m
18,25,Klara,w,,18,26,Jakob,m
19,24,Lena,w,,19,26,Johann,m
20,24,Sophia,w,,20,25,Arthur,m
21,23,Alma,w,,21,25,Bruno,m
22,23,Lara,w,,22,25,Vincent,m
23,22,Elisabeth,w,,23,24,Max,m
24,22,Frida,w,,24,23,Matteo,m
25,22,Mathilda,w,,25,23,Maximilian,m
26,22,Paula,w,,26,23,Milan,m
27,21,Emily,w,,27,22,Adam,m
28,21,Nora,w,,28,22,Elias,m
29,20,Leonie,w,,29,22,Gustav,m
30,20,Marie,w,,30,21,Carlo,m
31,19,Leni,w,,31,21,Till,m
32,19,Lia,w,,32,21,Tim,m
33,19,Lilly,w,,33,20,Adrian,m
34,19,Luise,w,,34,20,Franz,m
35,19,Luna,w,,35,20,Louis,m
36,18,Eva,w,,36,20,Mika,m
37,18,Matilda,w,,37,20,Valentin,m
38,18,Mira,w,,38,19,Julius,m
39,18,Pauline,w,,39,19,Leo,m
40,18,Tilda,w,,40,18,Fritz,m
41,17,Lea,w,,41,18,Johannes,m
42,17,Maria,w,,42,18,Leonard,m
43,17,Martha,w,,43,18,Liam,m
44,17,Merle,w,,44,18,Linus,m
45,15,Lotte,w,,45,18,Lukas,m
46,15,Mara,w,,46,18,Pepe,m
47,15,Nele,w,,47,17,Benjamin,m
48,15,Pia,w,,48,17,Jonathan,m
49,15,Rosalie,w,,49,17,Levi,m
50,14,Carlotta,w,,50,17,Lio,m
51,14,Elena,w,,51,16,Bela,m
52,14,Sophie,w,,52,15,Carl,m
53,14,Thea,w,,53,15,Erik,m
54,13,Alina,w,,54,15,Henri,m
55,13,Amelie,w,,55,15,Julian,m
56,12,Lucy,w,,56,15,Konstantin,m
57,12,Maja,w,,57,15,Niklas,m
58,12,Marlene,w,,58,15,Ole,m
59,11,Anni,w,,59,14,Aaron,m
60,11,Elise,w,,60,14,Alfred,m
61,11,Melissa,w,,61,14,Constantin,m
62,11,Sarah,w,,62,14,Frederik,m
63,10,Finja,w,,63,14,Friedrich,m
64,10,Fiona,w,,64,14,Fynn,m
65,10,Jasmin,w,,65,14,Hannes,m
66,10,Josephine,w,,66,14,Hugo,m
67,10,Marla,w,,67,14,Justus,m
68,10,Ronja,w,,68,14,Kurt,m
69,10,Sofia,w,,69,14,Mats,m
70,10,Stella,w,,70,14,Raphael,m
71,9,Ada,w,,71,13,Joshua,m
72,9,Anastasia,w,,72,13,Tom,m
73,9,Henriette,w,,73,12,David,m
74,9,Hilda,w,,74,12,Edgar,m
75,9,Juna,w,,75,12,Omar,m
76,9,Laura,w,,76,12,Richard,m
77,9,Linda,w,,77,11,Ferdinand,m
78,9,Magdalena,w,,78,11,Jonah,m
79,9,Maya,w,,79,11,Mattis,m
80,9,Melina,w,,80,11,Samuel,m
81,9,Mina,w,,81,10,Fiete,m
82,9,Olivia,w,,82,10,Jannis,m
83,9,Valentina,w,,83,10,Kilian,m
84,9,Victoria,w,,84,10,Marlon,m
85,8,Alva,w,,85,10,Simon,m
86,8,Ava,w,,86,9,Daniel,m
87,8,Helene,w,,87,9,Emilio,m
88,8,Julia,w,,88,9,Jad,m
89,8,Malina,w,,89,9,Janosch,m
90,8,Selma,w,,90,9,Jona,m
91,8,Theresa,w,,91,9,Lucas,m
92,7,Amalia,w,,92,9,Nils,m
93,7,Amelia,w,,93,9,Wilhelm,m
94,7,Amira,w,,94,8,Charlie,m
95,7,Amy,w,,95,8,Fred,m
96,7,Amélie,w,,96,8,Hans,m
97,7,Antonia,w,,97,8,Lennart,m
98,7,Aurelia,w,,98,8,Luis,m
99,7,Edda,w,,99,8,Malte,m
100,7,Ellen,w,,100,8,Matheo,m
101,7,Elsa,w,,101,8,Maxim,m
102,7,Hermine,w,,102,8,Milo,m
103,7,Isabell,w,,103,8,Mohammad,m
104,7,Lisa,w,,104,8,Nick,m
105,7,Lola,w,,105,8,Philipp,m
106,7,Miriam,w,,106,7,Albert,m
107,7,Nina,w,,107,7,Ali,m
108,7,Paulina,w,,108,7,Amir,m
109,7,Sara,w,,109,7,Arne,m
110,7,Tabea,w,,110,7,Dominik,m
111,7,Tamara,w,,111,7,Gabriel,m
112,7,Yuna,w,,112,7,Lino,m
113,6,Annabelle,w,,113,7,Ludwig,m
114,6,Anouk,w,,114,7,Mattheo,m
115,6,Fatima,w,,115,7,Oliver,m
116,6,Felicitas,w,,116,7,Rudi,m
117,6,Flora,w,,117,7,Tristan,m
118,6,Florentine,w,,118,7,Viktor,m
119,6,Hedi,w,,119,7,Willi,m
120,6,Jette,w,,120,6,Abdullah,m
121,6,Jonna,w,,121,6,Arian,m
122,6,Kira,w,,122,6,Benedikt,m
123,6,Larissa,w,,123,6,Björn,m
124,6,Leonora,w,,124,6,Carlos,m
125,6,Lieselotte,w,,125,6,Damian,m
126,6,Maila,w,,126,6,Elia,m
127,6,Malia,w,,127,6,Fabian,m
128,6,Wilma,w,,128,6,Florian,m
129,6,Yasmin,w,,129,6,Fridolin,m
130,6,Zoey,w,,130,6,Georg,m
131,5,Annika,w,,131,6,Jacob,m
132,5,Carla,w,,132,6,Jayden,m
133,5,Daria,w,,133,6,John,m
134,5,Elina,w,,134,6,Kasimir,m
135,5,Elisa,w,,135,6,Kolja,m
136,5,Gerda,w,,136,6,Konrad,m
137,5,Hailey,w,,137,6,Lasse,m
138,5,Hilde,w,,138,6,Magnus,m
139,5,Isabella,w,,139,6,Matti,m
140,5,Lene,w,,140,6,Michael,m
141,5,Lilli,w,,141,6,Mohamad,m
142,5,Linnea,w,,142,6,Mohammed,m
143,5,Lore,w,,143,6,Timo,m
144,5,Louise,w,,144,5,Bennett,m
145,5,Malin,w,,145,5,Benno,m
146,5,Mona,w,,146,5,Christian,m
147,5,Natalie,w,,147,5,Clemens,m
148,5,Rahel,w,,148,5,Eddi,m
149,5,Tessa,w,,149,5,Eric,m
150,5,Wanda,w,,150,5,Erwin,m
151,4,Annelie,w,,151,5,Henrik,m
152,4,Celina,w,,152,5,Jannik,m
153,4,Celine,w,,153,5,Jason,m
154,4,Edith,w,,154,5,Jonte,m
155,4,Eleonora,w,,155,5,Josef,m
156,4,Elli,w,,156,5,Lennox,m
157,4,Elly,w,,157,5,Lenny,m
158,4,Emelie,w,,158,5,Lias,m
159,4,Emilie,w,,159,5,Lucien,m
160,4,Emmi,w,,160,5,Mark,m
161,4,Freya,w,,161,5,Piet,m
162,4,Freyja,w,,162,5,Rio,m
163,4,Fritzi,w,,163,5,Robin,m
164,4,Heidi,w,,164,5,Tobias,m
165,4,Helen,w,,165,5,Willy,m
166,4,Holly,w,,166,5,Yousef,m
167,4,Jana,w,,167,4,Amin,m
168,4,Karla,w,,168,4,Arno,m
169,4,Kimberly,w,,169,4,Aron,m
170,4,Laila,w,,170,4,Bennet,m
171,4,Leila,w,,171,4,Bjarne,m
172,4,Leonore,w,,172,4,Dante,m
173,4,Livia,w,,173,4,Darian,m
174,4,Louisa,w,,174,4,Eduard,m
175,4,Luisa,w,,175,4,Elijah,m
176,4,Mathilde,w,,176,4,Enno,m
177,4,Noemi,w,,177,4,Jan,m
178,4,Romy,w,,178,4,Janne,m
179,4,Selina,w,,179,4,Jaro,m
180,4,Smilla,w,,180,4,Jaron,m
181,4,Talia,w,,181,4,Jasper,m
182,4,Tara,w,,182,4,Joel,m
183,4,Thalia,w,,183,4,Kuno,m
184,4,Vanessa,w,,184,4,Laurin,m
185,4,Zoe,w,,185,4,Leopold,m
186,3,Alba,w,,186,4,Levin,m
187,3,Alea,w,,187,4,Lian,m
188,3,Alissa,w,,188,4,Luka,m
189,3,Aria,w,,189,4,Luke,m
190,3,Bella,w,,190,4,Mateo,m
191,3,Bảo,w,,191,4,Miran,m
192,3,Cataleya,w,,192,4,Nicolas,m
193,3,Cleo,w,,193,4,Oscar,m
194,3,Dina,w,,194,4,Phil,m
195,3,Ela,w,,195,4,Raffael,m
196,3,Elenor,w,,196,4,Victor,m
197,3,Esther,w,,197,4,Yannis,m
198,3,Evelyn,w,,198,3,Ahmed,m
199,3,Frederike,w,,199,3,Albrecht,m
200,3,Hedda,w,,200,3,Alessio,m
201,3,Isabelle,w,,201,3,Alex,m
202,3,Joleen,w,,202,3,Alfons,m
203,3,Katharina,w,,203,3,Alwin,m
204,3,Kaya,w,,204,3,Antonio,m
205,3,Lamar,w,,205,3,Baran,m
206,3,Lana,w,,206,3,Caspar,m
207,3,Leen,w,,207,3,Charles,m
208,3,Leia,w,,208,3,Christopher,m
209,3,Lenja,w,,209,3,Colin,m
210,3,Leyla,w,,210,3,Cornelius,m
211,3,Lilia,w,,211,3,Diego,m
212,3,Lisbeth,w,,212,3,Dylan,m
213,3,Liv,w,,213,3,Eddie,m
214,3,Lorena,w,,214,3,Ede,m
215,3,Madita,w,,215,3,Elian,m
216,3,Malea,w,,216,3,Elliot,m
217,3,Malou,w,,217,3,Emilian,m
218,3,Margarete,w,,218,3,Enzo,m
219,3,Mariam,w,,219,3,Flynn,m
220,3,Marika,w,,220,3,Frederick,m
221,3,Marlena,w,,221,3,Gregor,m
222,3,Maryam,w,,222,3,Hanno,m
223,3,Mayla,w,,223,3,Hendrik,m
224,3,Melia,w,,224,3,Hermann,m
225,3,Mika,w,,225,3,Hussain,m
226,3,Milana,w,,226,3,Ilja,m
227,3,Milena,w,,227,3,James,m
228,3,Milla,w,,228,3,Jamie,m
229,3,Nela,w,,229,3,Jesper,m
230,3,Noa,w,,230,3,Joris,m
231,3,Ophelia,w,,231,3,Joscha,m
232,3,Palina,w,,232,3,Joseph,m
233,3,Rebecca,w,,233,3,Juri,m
234,3,Rita,w,,234,3,Lars,m
235,3,Runa,w,,235,3,Lennard,m
236,3,Sarina,w,,236,3,Leonardo,m
237,3,Skadi,w,,237,3,Levian,m
238,3,Sonja,w,,238,3,Loui,m
239,3,Viktoria,w,,239,3,Mailo,m
240,3,Ylvi,w,,240,3,Malik,m
241,3,Zahra,w,,241,3,Marc,m
242,3,Zora,w,,242,3,Marian,m
243,2,Adriana,w,,243,3,Markus,m
244,2,Agnes,w,,244,3,Martin,m
245,2,Alicia,w,,245,3,Marvin,m
246,2,Alin,w,,246,3,Matthias,m
247,2,Alisa,w,,247,3,Mick,m
248,2,Aliya,w,,248,3,Miro,m
249,2,Amal,w,,249,3,Mohamed,m
250,2,Ana,w,,250,3,Muhammad,m
251,2,Annabella,w,,251,3,Nathanael,m
252,2,Annalena,w,,252,3,Nico,m
253,2,Anne,w,,253,3,Otto,m
254,2,Annie,w,,254,3,Paco,m
255,2,Annik,w,,255,3,Peter,m
256,2,Arya,w,,256,3,Ragnar,m
257,2,Aurora,w,,257,3,Rayan,m
258,2,Aurélie,w,,258,3,Ruben,m
259,2,Aysha,w,,259,3,Said,m
260,2,Bonnie,w,,260,3,Sascha,m
261,2,Brida,w,,261,3,Sebastian,m
262,2,Camille,w,,262,3,Silas,m
263,2,Carolin,w,,263,3,Taim,m
264,2,Cassandra,w,,264,3,Tayler,m
265,2,Charlotta,w,,265,3,Thabo,m
266,2,Coralie,w,,266,3,Thomas,m
267,2,Cosima,w,,267,3,Thore,m
268,2,Dalal,w,,268,3,Toni,m
269,2,Delia,w,,269,3,Walid,m
270,2,Diana,w,,270,3,William,m
271,2,Dorothea,w,,271,3,Yasin,m
272,2,Eileen,w,,272,3,Younis,m
273,2,Elaf,w,,273,3,Zaid,m
274,2,Elaine,w,,274,2,Ahmad,m
275,2,Eleanor,w,,275,2,Alexej,m
276,2,Eleonore,w,,276,2,Amon,m
277,2,Eliana,w,,277,2,Anh,m
278,2,Elin,w,,278,2,Anthony,m
279,2,Eliza,w,,279,2,Armin,m
280,2,Elva,w,,280,2,Artur,m
281,2,Emina,w,,281,2,Arvid,m
282,2,Emmie,w,,282,2,August,m
283,2,Emmy,w,,283,2,Ayan,m
284,2,Enna,w,,284,2,Ayden,m
285,2,Enya,w,,285,2,Bastian,m
286,2,Estelle,w,,286,2,Ben-Luca,m
287,2,Ewa,w,,287,2,Bilal,m
288,2,Fay,w,,288,2,Béla,m
289,2,Franziska,w,,289,2,Casimir,m
290,2,Giulia,w,,290,2,Cedric,m
291,2,Hanifa,w,,291,2,Chris,m
292,2,Helin,w,,292,2,Christoph,m
293,2,Henrietta,w,,293,2,Collin,m
294,2,Hiba,w,,294,2,Cosmo,m
295,2,Irma,w,,295,2,Damon,m
296,2,Jamie,w,,296,2,Darius,m
297,2,Jolina,w,,297,2,Dean,m
298,2,Josefine,w,,298,2,Deniz,m
299,2,Josephin,w,,299,2,Destiny,m
300,2,Juli,w,,300,2,Diaa,m
301,2,Juliane,w,,301,2,Dimitri,m
302,2,Juno,w,,302,2,Dominic,m
303,2,Jutta,w,,303,2,Dorian,m
304,2,Kajsa,w,,304,2,Eddy,m
305,2,Karolina,w,,305,2,Eden,m
306,2,Kathy,w,,306,2,Edwin,m
307,2,Kiara,w,,307,2,Elija,m
308,2,Kim,w,,308,2,Elmo,m
309,2,Käthe,w,,309,2,Elyas,m
310,2,Leandra,w,,310,2,Emir,m
311,2,Letizia,w,,311,2,Esra,m
312,2,Leya,w,,312,2,Ferenc,m
313,2,Liesbeth,w,,313,2,Finnlay,m
314,2,Liese,w,,314,2,Florin,m
315,2,Lilian,w,,315,2,Hadi,m
316,2,Liliana,w,,316,2,Hamza,m
317,2,Lilith,w,,317,2,Hassan,m
318,2,Lilou,w,,318,2,Hauke,m
319,2,Linn,w,,319,2,Heinrich,m
320,2,Lise,w,,320,2,Helge,m
321,2,Liz,w,,321,2,Henning,m
322,2,Loreen,w,,322,2,Ilya,m
323,2,Lou,w,,323,2,Jack,m
324,2,Luana,w,,324,2,Janis,m
325,2,Lucia,w,,325,2,Jannes,m
326,2,Lucie,w,,326,2,Jarek,m
327,2,Malak,w,,327,2,Jari,m
328,2,Mareike,w,,328,2,Jean,m
329,2,Margarethe,w,,329,2,Jerome,m
330,2,Margot,w,,330,2,Joschua,m
331,2,Marta,w,,331,2,Joud,m
332,2,Mary,w,,332,2,Julien,m
333,2,Masa,w,,333,2,Kalle,m
334,2,Maxima,w,,334,2,Karim,m
335,2,Melody,w,,335,2,Keke,m
336,2,Milaine,w,,336,2,Kerim,m
337,2,Minh,w,,337,2,Kevin,m
338,2,Naima,w,,338,2,Khalil,m
339,2,Natalia,w,,339,2,Kian,m
340,2,Naya,w,,340,2,Kjell,m
341,2,Nika,w,,341,2,Knut,m
342,2,Ola,w,,342,2,Leno,m
343,2,Penelope,w,,343,2,Lenox,m
344,2,Phoebe,w,,344,2,Leonas,m
345,2,Polly,w,,345,2,Leonhard,m
346,2,Purity,w,,346,2,Lewin,m
347,2,Rachel,w,,347,2,Linas,m
