Rang,Anzahl,Vorname,Geschlecht,-,Rang1,Anzahl1,Vorname1,Geschlecht1
996,1,Nala,w,,996,1,Savas,m
997,1,Nancy,w,,997,1,Sawan,m
998,1,Naomi,w,,998,1,Sayed,m
999,1,Nara,w,,999,1,Sayf,m
1000,1,Natalia,w,,1000,1,Saymon,m
1001,1,Natalya-Maria,w,,1001,1,Scott,m
1002,1,Nayla,w,,1002,1,Sebastian,m
1003,1,Nazar,w,,1003,1,Sejid,m
1004,1,Nea,w,,1004,1,Selim,m
1005,1,Neela,w,,1005,1,Seliyan,m
1006,1,Neila,w,,1006,1,Shandao,m
1007,1,Nele-Marie,w,,1007,1,Sharef,m
1008,1,Nele-Sophie,w,,1008,1,Shehryar,m
1009,1,Nellie,w,,1009,1,Shihab,m
1010,1,Ngan,w,,1010,1,Sidl,m
1011,1,Ng?c,w,,1011,1,Silas,m
1012,1,Niala,w,,1012,1,Simba,m
1013,1,Nihal,w,,1013,1,Simeon,m
1014,1,Nikki,w,,1014,1,Sion,m
1015,1,Nil,w,,1015,1,Sipan,m
1016,1,Nimrat,w,,1016,1,Sky,m
1017,1,Ninetta,w,,1017,1,Sobhan,m
1018,1,Ninja,w,,1018,1,Sora,m
1019,1,Nita,w,,1019,1,Stepan,m
1020,1,Noha,w,,1020,1,Stephan,m
1021,1,Noor,w,,1021,1,Steve,m
1022,1,Norah,w,,1022,1,Stoyan,m
1023,1,Nour,w,,1023,1,Suhaib,m
1024,1,Nova,w,,1024,1,Suheyeb,m
1025,1,Novalie,w,,1025,1,Suleman,m
1026,1,Noémi,w,,1026,1,Sultane,m
1027,1,Nram,w,,1027,1,Sun-Kyle,m
1028,1,Nuria,w,,1028,1,Sunjata,m
1029,1,Nuru,w,,1029,1,Svante,m
1030,1,Ny,w,,1030,1,Syrtaki,m
1031,1,Néle,w,,1031,1,Szilárd,m
1032,1,Oana,w,,1032,1,Sîyabend,m
1033,1,Odilia,w,,1033,1,Süleyman,m
1034,1,Ohana,w,,1034,1,Taavi,m
1035,1,Olive,w,,1035,1,Taem,m
1036,1,Olívia,w,,1036,1,Tajldien,m
1037,1,Ostara,w,,1037,1,Tama?,m
1038,1,Padma,w,,1038,1,Tamilo,m
1039,1,Panagiota,w,,1039,1,Tanush,m
1040,1,Paolina,w,,1040,1,Tareq,m
1041,1,Parmis,w,,1041,1,Tarjei,m
1042,1,Parveen,w,,1042,1,Tavi,m
1043,1,Pella,w,,1043,1,Tawfik,m
1044,1,Penelope,w,,1044,1,Tayler-Andrew,m
1045,1,Penelope-Hope,w,,1045,1,Tayler-Noel,m
1046,1,Philina,w,,1046,1,Tayo,m
1047,1,Phoebe,w,,1047,1,Teo,m
1048,1,Pola,w,,1048,1,Teofil,m
1049,1,Polly,w,,1049,1,Terence,m
1050,1,Pollyanna,w,,1050,1,Thando,m
1051,1,Progress,w,,1051,1,Themeon,m
1052,1,Prosperity,w,,1052,1,Theodore,m
1053,1,Putu,w,,1053,1,Theon,m
1054,1,Qu?nh,w,,1054,1,Theordor,m
1055,1,Raabha,w,,1055,1,Thiago,m
1056,1,Rafif,w,,1056,1,Thorin,m
1057,1,Ragad,w,,1057,1,Thoryn,m
1058,1,Raja,w,,1058,1,Tian,m
1059,1,Rama,w,,1059,1,Tillmann,m
1060,1,Rania,w,,1060,1,Tilmann,m
1061,1,Raya,w,,1061,1,Tim-Anthony,m
1062,1,Rayan,w,,1062,1,Timmy,m
1063,1,Remas,w,,1063,1,Tino,m
1064,1,Rende,w,,1064,1,Tita,m
1065,1,Renesmee,w,,1065,1,Tizian,m
1066,1,Resa,w,,1066,1,Tiziano,m
1067,1,Retal,w,,1067,1,Tjark,m
1068,1,Rila,w,,1068,1,Tobiasz,m
1069,1,Rina,w,,1069,1,Tomasz,m
1070,1,Rita,w,,1070,1,Tomte,m
1071,1,Riwayat,w,,1071,1,Trajan,m
1072,1,Riya,w,,1072,1,Tuan,m
1073,1,Robinia,w,,1073,1,Tudor,m
1074,1,Roderika,w,,1074,1,Tyler,m
1075,1,Rohama,w,,1075,1,Tyler-Joel,m
1076,1,Rosabelle,w,,1076,1,Tymon,m
1077,1,Rose,w,,1077,1,Tyron,m
1078,1,Roshna,w,,1078,1,Ubeydullah,m
1079,1,Roxana,w,,1079,1,Udo,m
1080,1,Rubi,w,,1080,1,Ulrich,m
1081,1,Ruken,w,,1081,1,Umberto,m
1082,1,Sabila,w,,1082,1,Uroš,m
1083,1,Sadie,w,,1083,1,Ushman,m
1084,1,Safiya,w,,1084,1,Vicco,m
1085,1,Sahra,w,,1085,1,Vico,m
1086,1,Sakura,w,,1086,1,Victor,m
1087,1,Sali,w,,1087,1,Viggo,m
1088,1,Salma,w,,1088,1,Vilem,m
1089,1,Salome,w,,1089,1,Vilko,m
1090,1,Samantha,w,,1090,1,Ville,m
1091,1,Sana,w,,1091,1,Vin,m
1092,1,Sandra,w,,1092,1,Vincenz,m
1093,1,Sanna,w,,1093,1,Vinzenz,m
1094,1,Sanny,w,,1094,1,Vito,m
1095,1,Saphira,w,,1095,1,Viyar,m
1096,1,Sarina,w,,1096,1,Vlad,m
1097,1,Sasha,w,,1097,1,Vladislav,m
1098,1,Sasin,w,,1098,1,Vuk,m
1099,1,Scarlet,w,,1099,1,Watan,m
1100,1,Scarlett-Magdalena,w,,1100,1,Willo,m
1101,1,Sefora,w,,1101,1,Wilm,m
1102,1,Seinab,w,,1102,1,Wincent,m
1103,1,Selena,w,,1103,1,Wisam,m
1104,1,Selin,w,,1104,1,Wojciech,m
1105,1,Sema,w,,1105,1,Wolfgang,m
1106,1,Senna,w,,1106,1,Wotan,m
1107,1,Senta,w,,1107,1,Wyatt,m
1108,1,Serafina,w,,1108,1,Xavier,m
1109,1,Serafine,w,,1109,1,Yael,m
1110,1,Seraphima,w,,1110,1,Yahya,m
1111,1,Seraphina,w,,1111,1,Yanis,m
1112,1,Sermina,w,,1112,1,Yannis,m
1113,1,Serwina,w,,1113,1,Yara,m
1114,1,Setayesh,w,,1114,1,Yaron,m
1115,1,Shiba,w,,1115,1,Yasha,m
1116,1,Shima,w,,1116,1,Yasser,m
1117,1,Shkurte,w,,1117,1,Yazan,m
1118,1,Shravani,w,,1118,1,Yazn,m
1119,1,Shuruk,w,,1119,1,Yichen,m
1120,1,Shuyou,w,,1120,1,Yorick,m
1121,1,Sidra,w,,1121,1,Youness,m
1122,1,Siiri,w,,1122,1,Yunus-Emre,m
1123,1,Sila,w,,1123,1,Yuri,m
1124,1,Simon,w,,1124,1,Zaeid,m
1125,1,Singiten,w,,1125,1,Zaid,m
1126,1,Sirin,w,,1126,1,Zaman,m
1127,1,Skylar-Marie,w,,1127,1,Ziad,m
1128,1,Sofia-Jolie,w,,1128,1,Zidan,m
1129,1,Sofia-Sissi,w,,1129,1,Ãdam,m
1130,1,Solvej,w,,,,,
1131,1,Solène,w,,,,,
1132,1,Someya,w,,,,,
1133,1,Sophy,w,,,,,
1134,1,Soraya,w,,,,,
1135,1,Spencer-Nora,w,,,,,
1136,1,Stefy,w,,,,,
1137,1,Stella-Jolien,w,,,,,
1138,1,Sumaya,w,,,,,
1139,1,Sundes,w,,,,,
1140,1,Sylvia,w,,,,,
1141,1,Tabita,w,,,,,
1142,1,Taia,w,,,,,
1143,1,Talea,w,,,,,
1144,1,Talvi,w,,,,,
1145,1,Tamara,w,,,,,
1146,1,Tamia,w,,,,,
1147,1,Tamina,w,,,,,
1148,1,Tania,w,,,,,
1149,1,Tanja,w,,,,,
1150,1,Tanveer,w,,,,,
1151,1,Tara,w,,,,,
1152,1,Teif,w,,,,,
1153,1,Teresa,w,,,,,
1154,1,Thalya,w,,,,,
1155,1,Thelma,w,,,,,
1156,1,Theresia,w,,,,,
1157,1,Thora,w,,,,,
1158,1,Thuc,w,,,,,
1159,1,Thuy,w,,,,,
1160,1,Théa,w,,,,,
1161,1,Th?y,w,,,,,
1162,1,Tiara,w,,,,,
1163,1,Tijara,w,,,,,
1164,1,Tomris,w,,,,,
1165,1,Tori,w,,,,,
1166,1,Tran,w,,,,,
1167,1,Tukka,w,,,,,
1168,1,Tyra,w,,,,,
1169,1,Umi,w,,,,,
1170,1,Ute,w,,,,,
1171,1,Valerie,w,,,,,
1172,1,Valka,w,,,,,
1173,1,Valma,w,,,,,
1174,1,Valéria,w,,,,,
1175,1,Varisha,w,,,,,
1176,1,Velina,w,,,,,
1177,1,Vida,w,,,,,
1178,1,Vivian,w,,,,,
1179,1,Wafa,w,,,,,
1180,1,Wanja,w,,,,,
1181,1,Wilfriede,w,,,,,
1182,1,Wolke,w,,,,,
1183,1,Yama,w,,,,,
1184,1,Yasmina,w,,,,,
1185,1,Yelena,w,,,,,
1186,1,Yella,w,,,,,
1187,1,Ylenia,w,,,,,
1188,1,Ylvi,w,,,,,
1189,1,Yolanda,w,,,,,
1190,1,Yonna,w,,,,,
1191,1,Yordanos,w,,,,,
1192,1,Yosser,w,,,,,
1193,1,Yuma,w,,,,,
1194,1,Yve,w,,,,,
1195,1,Zahra,w,,,,,
1196,1,Zainab,w,,,,,
1197,1,Zaineb,w,,,,,
1198,1,Zakia,w,,,,,
1199,1,Zelda,w,,,,,
1200,1,Zerda,w,,,,,
1201,1,Zin,w,,,,,
1202,1,Zinah,w,,,,,
1203,1,Zinat,w,,,,,
1204,1,Zita,w,,,,,
1205,1,Zoe-Annett,w,,,,,
1206,1,Zoya,w,,,,,
1207,1,Zoé,w,,,,,
1208,1,Zuha,w,,,,,
1209,1,Zuzanna,w,,,,,
1210,1,Ái,w,,,,,
1211,1,?tefania,w,,,,,
