Rang,Anzahl,Vorname,Geschlecht,-,Rang,Anzahl,Vorname,Geschlecht
1,58,Johanna,w,,1,64,Emil,m
2,57,Emma,w,,2,60,Paul,m
3,47,Charlotte,w,,3,55,Oskar,m
4,47,Emilia,w,,4,52,Karl,m
5,45,Clara,w,,5,48,Jonas,m
6,41,Anna,w,,6,46,Ben,m
7,39,Mia,w,,7,44,Theodor,m
8,37,Marie,w,,8,43,Anton,m
9,33,Greta,w,,9,41,Luca,m
10,33,Lena,w,,10,40,Elias,m
11,32,Hannah,w,,11,40,Jakob,m
12,32,Sophia,w,,12,40,Leon,m
13,31,Nele,w,,13,38,Felix,m
14,30,Ella,w,,14,36,Julian,m
15,30,Lina,w,,15,36,Theo,m
16,30,Lotta,w,,16,35,Moritz,m
17,28,Emily,w,,17,35,Noah,m
18,28,Frida,w,,18,33,Arthur,m
19,28,Hanna,w,,19,30,Alexander,m
20,28,Helena,w,,20,29,Finn,m
21,28,Maria,w,,21,29,Johann,m
22,28,Mila,w,,22,28,Jonathan,m
23,27,Luisa,w,,23,28,Max,m
24,26,Lea,w,,24,27,Bruno,m
25,26,Mathilda,w,,25,26,Benjamin,m
26,25,Frieda,w,,26,26,Maximilian,m
27,25,Leni,w,,27,25,Valentin,m
28,25,Paula,w,,28,24,Leo,m
29,24,Laura,w,,29,23,Gustav,m
30,22,Amelie,w,,30,23,Henry,m
31,22,Ida,w,,31,23,Leonard,m
32,22,Leonie,w,,32,23,Pepe,m
33,22,Nora,w,,33,22,Vincent,m
34,22,Sophie,w,,34,21,Adam,m
35,20,Lara,w,,35,21,Fabian,m
36,19,Magdalena,w,,36,21,Leopold,m
37,18,Klara,w,,37,20,Johannes,m
38,18,Martha,w,,38,20,Linus,m
39,17,Luise,w,,39,20,Milan,m
40,16,Maja,w,,40,20,Niklas,m
41,16,Melina,w,,41,19,Carl,m
42,16,Mira,w,,42,19,Erik,m
43,16,Ronja,w,,43,19,Friedrich,m
44,15,Finja,w,,44,19,Hannes,m
45,15,Jasmin,w,,45,19,Louis,m
46,15,Mara,w,,46,19,Richard,m
47,15,Marlene,w,,47,18,Franz,m
48,15,Merle,w,,48,18,Fritz,m
49,15,Miriam,w,,49,18,Henri,m
50,15,Pia,w,,50,18,Konstantin,m
51,14,Alma,w,,51,17,Aaron,m
52,14,Linda,w,,52,17,Julius,m
53,14,Lucy,w,,53,17,Liam,m
54,14,Matilda,w,,54,17,Mika,m
55,13,Alina,w,,55,15,Fynn,m
56,13,Annabell,w,,56,15,Nils,m
57,13,Elisa,w,,57,15,Raphael,m
58,13,Elisabeth,w,,58,15,Samuel,m
59,13,Elsa,w,,59,14,Konrad,m
60,13,Helene,w,,60,14,Lukas,m
61,13,Katharina,w,,61,14,Mattis,m
62,13,Luna,w,,62,14,Oscar,m
63,13,Maya,w,,63,14,Till,m
64,13,Pauline,w,,64,14,Tom,m
65,13,Selma,w,,65,13,Ferdinand,m
66,12,Elise,w,,66,13,Frederik,m
67,12,Lilly,w,,67,13,Justus,m
68,12,Nina,w,,68,13,Mats,m
69,12,Tilda,w,,69,13,Matteo,m
70,12,Zoe,w,,70,13,Maxim,m
71,11,Eva,w,,71,13,Ole,m
72,11,Fiona,w,,72,12,Adrian,m
73,11,Rosalie,w,,73,12,Georg,m
74,11,Sarah,w,,74,12,Matheo,m
75,11,Stella,w,,75,11,Carlo,m
76,11,Zoey,w,,76,11,Daniel,m
77,10,Alexandra,w,,77,11,Emilio,m
78,10,Flora,w,,78,11,Florian,m
79,10,Isabell,w,,79,11,Hugo,m
80,10,Julia,w,,80,11,Jannik,m
81,10,Paulina,w,,81,11,Jayden,m
82,10,Sofia,w,,82,11,Levi,m
83,10,Thea,w,,83,11,Luis,m
84,10,Victoria,w,,84,11,Tim,m
85,9,Anastasia,w,,85,11,Wilhelm,m
86,9,Anni,w,,86,11,Willi,m
87,9,Josephine,w,,87,10,August,m
88,9,Lene,w,,88,10,David,m
89,9,Lotte,w,,89,10,Ian,m
90,9,Milena,w,,90,10,Jan,m
91,9,Theresa,w,,91,10,Jannis,m
92,8,Ada,w,,92,10,John,m
93,8,Isabella,w,,93,10,Nick,m
94,8,Mina,w,,94,10,Oliver,m
95,8,Rosa,w,,95,10,Simon,m
96,8,Sara,w,,96,10,Timo,m
97,8,Valentina,w,,97,9,Benno,m
98,7,Annika,w,,98,9,Jason,m
99,7,Antonia,w,,99,9,Joshua,m
100,7,Arina,w,,100,9,Lasse,m
101,7,Bella,w,,101,9,Luke,m
102,7,Emmi,w,,102,8,Alfred,m
